Constituency,Seats,Electorate,Party,Candidates,Votes,%
Aljunied GRC,3,"65,351",People's Action Party,Chin Harn Tong,"34,020",56.33
,,,,Wan Hussin B H Zoohri,,
,,,,George Yeo,,
,,,Singapore Democratic Party,Jufrie Mahmood,"26,375",43.67
,,,,Neo Choon Aik,,
,,,,Ashleigh Seow Chuan-Hock,,
Ang Mo Kio SMC,1,"14,633",People's Action Party,Yeo Toon Chia,"13,365",65.49
,,,National Solidarity Party,Ong Kah Seng,"7,044",27.25
Ayer Rajah SMC,1,"22,532",People's Action Party,Tan Cheng Bock,"14,824",69.55
,,,Workers' Party,Tan Song Gek,"6,489",30.45
Bedok GRC,3,"54,969",People's Action Party,Hong Hai,"28,266",54.92
,,,,Ibrahim Othman,,
,,,,S. Jayakumar,,
,,,Workers' Party,Gertrude De Gracias,"23,203",45.08
,,,,Saraswathy Murugason,,
,,,,Seow Khee Leng,,
Boon Lay SMC,1,"16,646",People's Action Party,Goh Chee Wee,"11,317",71.97
,,,Pertubuhan Kebangsaan Melayu Singapura,Salleh Mohd Bawthan,"4,408",28.03
Braddell Heights SMC,1,"27,019",People's Action Party,Goh Choon Kang,"14,862",58.8
,,,Singapore Democratic Party,Sin Kek Tong,"10,412",41.2
Brickworks GRC,3,"43,117",People's Action Party,Ahmad Mattar,"26,870",67.43
,,,,Chay Wai Chuen,,
,,,,Tan Soo Khoon,,
,,,Workers' Party,J C Corera,"12,977",32.57
,,,,Goh Teng Hoon,,
,,,,Ismail Yaacob,,
Bukit Batok SMC,1,"24,138",People's Action Party,Ong Chit Chung,"12,873",55.94
,,,Singapore Democratic Party,Kwan Yue Keng,"10,139",44.06
Bukit Gombak SMC,1,"25,221",People's Action Party,Seet Ai Mee,"12,661",53.46
,,,Singapore Democratic Party,Ling How Doong,"11,024",46.54
Bukit Merah SMC,1,"14,723",People's Action Party,Lim Chee Onn,"9,414",69.78
,,,Workers' Party,Pok Lee Chuen,"4,077",30.22
Bukit Panjang SMC,1,"33,824",People's Action Party,Lee Yiok Seng,"18,314",57.28
,,,Singapore Democratic Party,Kwek Guan Kwee,"9,864",30.86
,,,Pertubuhan Kebangsaan Melayu Singapura,Ibrahim Ariff,"3,790",11.86
Bukit Timah SMC,1,"20,222",People's Action Party,Wang Kai Yuen,Uncontested,
Buona Vista SMC,1,"15,850",People's Action Party,Peter Sung,"8,859",61.76
,,,Singapore Democratic Party,Low Yong Nguan,"5,037",35.11
,,,Pertubuhan Kebangsaan Melayu Singapura,Abdul Karim B Abdul Sattar,449,3.13
Cairnhill SMC,1,"23,197",People's Action Party,Wong Kwei Cheong,"12,779",63.98
,,,Singapore Democratic Party,Jimmy Tan Tiang Hoe,"7,194",36.02
Changi SMC,1,"17,145",People's Action Party,Teo Chong Tee,"9,398",59.73
,,,Workers' Party,Chiam Yeow Juan,"6,431",40.63
Cheng San GRC,3,"56,352",People's Action Party,Lee Yock Suan,Uncontested,
,,,,Chandra Das S,,
,,,,Heng Chiang Meng,,
Chua Chu Kang SMC,1,"19,628",People's Action Party,Low Seow Chay,"11,058",59.28
,,,Workers' Party,Goh Seng Soon,"7,597",40.72
Eunos GRC,3,"75,723",People's Action Party,Tay Eng Soon,"36,500",50.89
,,,,Chew Heng Ching,,
,,,,Zulkifli Mohammed,,
,,,Workers' Party,Lee Siew Choh[c],"35,221",49.11
,,,,Mohd Khalit B Md Baboo,,
,,,,Francis Seow[d],,
Fengshan SMC,1,"17,389",People's Action Party,Arthur Beng Kian Lam,"9,507",57.92
,,,Workers' Party,Chng Chin Siah,"6,907",42.08
Hong Kah GRC,3,"67,431",People's Action Party,A Nasser Kamaruddin,Uncontested,
,,,,John Chen Seow Phun,,
,,,,Yeo Cheow Tong,,
Hougang SMC,1,"21,703",People's Action Party,Tang Guan Seng,"11,983",58.96
,,,Workers' Party,Lim Chiu Liang,"8,342",41.04
