Constituency,Seats,Electorate,Party,Candidate(s),Votes
Bukit Batok SMC,1,"27,077",People's Action Party,David Ong,"18,234"
,,,Singapore Democratic Party,Sadasivam Veriyah,"6,588"
,,,Independent,Samir Salim Neji,150
Bukit Panjang SMC,1,"34,317",People's Action Party,Teo Ho Pin,"21,954"
,,,Singapore Democratic Party,Khung Wai Yeen,"10,152"
Fengshan SMC,1,"23,427",People's Action Party,Cheryl Chan,"12,417"
,,,Workers' Party,Dennis Tan,"9,176"
Hong Kah North SMC,1,"28,145",People's Action Party,Amy Khor,"19,628"
,,,Singapore People's Party,Ravi Philemon,"6,627"
Hougang SMC,1,"24,097",Workers' Party,Png Eng Huat,"13,027"
,,,People's Action Party,Lee Hong Chuang,"9,565"
MacPherson SMC,1,"28,511",People's Action Party,Tin Pei Ling,"17,251"
,,,Workers' Party,Bernard Chen,"8,833"
,,,National Solidarity Party,Cheo Chai Chen,215
,,,,,
Mountbatten SMC,1,"24,143",People's Action Party,Lim Biow Chuan,"15,331"
,,,Singapore People's Party,Jeannette Chong-Aruldoss,"6,004"
Pioneer SMC,1,"25,458",People's Action Party,Cedric Foo,"18,017"
,,,National Solidarity Party,Elvin Ong,"5,581"
Potong Pasir SMC,1,"17,407",People's Action Party,Sitoh Yih Pin,"10,602"
,,,Singapore People's Party,Lina Chiam,"5,368"
Punggol East SMC,1,"34,466",People's Action Party,Charles Chong,"16,977"
,,,Workers' Party,Lee Li Lian,"15,818"
Radin Mas SMC,1,"28,906",People's Action Party,Sam Tan,"20,246"
,,,Reform Party,Kumar Appavoo,"3,333"
,,,"Independent (Loses $14,500 deposit)",Han Hui Hui,"2,630"
Sengkang West SMC,1,"30,119",People's Action Party,Lam Pin Min,"17,586"
,,,Workers' Party,Koh Choong Yong,"10,721"
Yuhua SMC,1,"22,617",People's Action Party,Grace Fu,"15,324"
,,,Singapore Democratic Party,Jaslyn Go,"5,512"
Chua Chu Kang GRC,4,"119,931",People's Action Party,Gan Kim Yong,"84,850"
,,,,Low Yen Ling,
,,,,Yee Chia Hsing,
,,,,Zaqy Mohamad,
,,,People's Power Party,Goh Meng Seng,"25,475"
,,,,Lee Tze Shih,
,,,,Low Wai Choo,
,,,,Syafarin Bin Sarif,
East Coast GRC,4,"99,118",People's Action Party,Lee Yi Shyan,"55,093"
,,,,Lim Swee Say,
,,,,Mohd Maliki Bin Osman,
,,,,Jessica Tan,
,,,Workers' Party,Daniel Goh,"35,622"
,,,,Gerald Giam,
,,,,Leon Perera,
,,,,Mohamed Fairoz Bin Shariff,
Holland–Bukit Timah GRC,4,"104,491",People's Action Party,Vivian Balakrishnan,"62,786"
,,,,Christopher de Souza,
,,,,Liang Eng Hwa,
,,,,Sim Ann,
,,,Singapore Democratic Party,Chee Soon Juan,"31,494"
,,,,Paul Tambyah,
,,,,Chong Wai Fung,
,,,,Sidek Mallek Sidek,
Jalan Besar GRC,4,"102,540",People's Action Party,Heng Chee How,"63,644"
,,,,Lily Neo,
,,,,Denise Phua,
,,,,Yaacob Ibrahim,
,,,Workers' Party,Frieda Chan,"30,302"
,,,,L Somasundaram,
,,,,Redzwan Hafidz Abdul Razak,
,,,,Adrian Sim,
Marsiling–Yew Tee GRC,4,"107,599",People's Action Party,Halimah Yacob,"68,546"
,,,,Ong Teng Koon,
,,,,Alex Yam,
,,,,Lawrence Wong,
,,,Singapore Democratic Party,Damanhuri Bin Abas,"31,185"
,,,,Bryan Lim,
,,,,John Tan,
,,,,Wong Souk Yee,
West Coast GRC,4,"99,300",People's Action Party,Foo Mee Har,"71,214"
,,,,Lim Hng Kiang,
,,,,S. Iswaran,
,,,,Patrick Tay,
,,,Reform Party,Kenneth Jeyaretnam,"19,426"
,,,,Noraini Yunus,
,,,,Darren Soh,
,,,,Andy Zhu,
Aljunied GRC,5,"148,142",Workers' Party,Low Thia Khiang,"70,050"
,,,,Pritam Singh,
,,,,Sylvia Lim,
,,,,Faisal Manap,
,,,,Chen Show Mao,
,,,People's Action Party,Yeo Guat Kwang,"67,424"
,,,,Victor Lye,
,,,,Shamsul Kamar bin Mohamed Razali,
,,,,Chua Eng Leong,
,,,,Murali Pillai,
Bishan–Toa Payoh GRC,5,"129,975",People's Action Party,Ng Eng Hen,"86,701"
,,,,Josephine Teo,
,,,,Chee Hong Tat,
,,,,Chong Kee Hiong,
,,,,Saktiandi Supaat,
,,,Singapore People's Party,Benjamin Pwee,"31,108"
,,,,Law Kim Hwee,
,,,,Bryan Long,
,,,,Mohamad Abdillah Bin Zamzuri,
,,,,Mohamad Hamim Bin Aliyas,
Jurong GRC,5,"130,498",People's Action Party,Tharman Shanmugaratnam,"95,228"
,,,,Ang Wei Neng,
,,,,Desmond Lee,
,,,,Rahayu Mahzam,
,,,,Tan Wu Meng,
,,,Singaporeans First,David Foo,"24,869"
,,,,Sukdeu Singh,
,,,,Ann Tan Peng,
,,,,Wong Chee Wai,
,,,,Wong Soon Hong,
Marine Parade GRC,5,"146,244",People's Action Party,Goh Chok Tong,"85,138"
,,,,Fatimah Lateef,
,,,,Seah Kian Peng,
,,,,Tan Chuan-Jin,
,,,,Edwin Tong,
,,,Workers' Party,Yee Jenn Jong,"47,753"
,,,,He Ting Ru,
,,,,Firuz Khan,
,,,,Dylan Ng,
,,,,Terence Tan,
Nee Soon GRC,5,"132,289",People's Action Party,K. Shanmugam,"82,287"
,,,,Henry Kwek,
,,,,Lee Bee Wah,
,,,,Muhammad Faishal Ibrahim,
,,,,Louis Ng,
,,,Workers' Party,Kenneth Foo,"40,841"
,,,,Gurmit Singh S/O Sadhu Singh,
,,,,Luke Koh,
,,,,Cheryl Loh,
,,,,Ron Tan,
Sembawang GRC,5,"144,672",People's Action Party,Khaw Boon Wan,"96,718"
,,,,Lim Wee Kiak,
,,,,Amrin Amin,
,,,,Ong Ye Kung,
,,,,Vikram Nair,
,,,National Solidarity Party,Abdul Rasheed S/O Y Abdul Kuthus,"37,087"
,,,,Kevryn Lim,
,,,,Spencer Ng,
,,,,Yadzeth Bin Haris,
,,,,Eugene Yeo,
Tampines GRC,5,"143,518",People's Action Party,Heng Swee Keat,"95,305"
,,,,Baey Yam Keng,
,,,,Cheng Li Hui,
,,,,Desmond Choo,
,,,,Masagos Zulkifli,
,,,National Solidarity Party,Lim Tean,"36,943"
,,,,Choong Hon Heng,
,,,,Fong Chin Leong,
,,,,Nor Lella,
,,,,Sebastian Teo,
Tanjong Pagar GRC,5,"130,752",People's Action Party,Chan Chun Sing,"90,635"
,,,,Chia Shi-Lu,
,,,,Indranee Rajah,
,,,,Joan Pereira,
,,,,Melvin Yong,
,,,Singaporeans First,Tan Jee Say,"25,998"
,,,,Ang Yong Guan,
,,,,Chirag Praful Desai,
,,,,Melvyn Chiu,
,,,,Mohamad Fahmi Bin Ahmad Rais,
Ang Mo Kio GRC,6,"187,771",People's Action Party,Lee Hsien Loong,"135,316"
,,,,Ang Hin Kee,
,,,,Darryl David,
,,,,Gan Thiam Poh,
,,,,Intan Azura Mokhtar,
,,,,Koh Poh Koon,
,,,Reform Party,Gilbert Goh,"36,758"
,,,,Jesse Loo,
,,,,Roy Ngerng,
,,,,Osman Sulaiman,
,,,,M Ravi,
,,,,Siva Chandran,
Pasir Ris–Punggol GRC,6,"187,396",People's Action Party,Teo Chee Hean,"125,166"
,,,,Janil Puthucheary,
,,,,Ng Chee Meng,
,,,,Sun Xueling,
,,,,Teo Ser Luck,
,,,,Zainal Sapari,
,,,Singapore Democratic Alliance,Abu Mohamed,"46,550"
,,,,Harminder Pal Singh,
,,,,Desmond Lim,
,,,,Arthero Lim,
,,,,Ong Teik Seng,
,,,,Wong Way Weng,
