"Year","Constituency","Electorate","PAP","WP","Others","No.Vote","Planning.Areas","Total","Below..1.000","X.1.000....1.999","X.2.000....2.999","X.3.000....3.999","X.4.000....4.999","X.5.000....5.999","X.6.000....6.999","X.7.000....7.999","X.8.000....8.999","X.9.000....9.999","X.10.000....10.999","X.11.000....11.999","X.12.000....14.999","X.15.000...Over"
2020,"Bukit Batok SMC",29948,15500,NA,12787,1661,"Bukit Batok","33,792","2,603","5,031","4,498","4,070","3,343","2,644","1,964","1,594","1,353","1,088","1,199","921","1,518","1,966"
2020,"Bukit Panjang SMC",35437,18085,NA,15576,1776,"Bukit Panjang","9,091","1,134","1,871","1,564","955","745","744","365","388","190","345","184","219","278","110"
2020,"Hong Kah North SMC",28046,16347,NA,10457,1242,"Choa Chu Kang","13,144","2,048","2,531","2,088","1,544","1,156","716","451","483","413","353","321","461","442","136"
2020,"Hougang SMC",26432,9791,15451,NA,1190,"Hougang","43,772","2,890","7,683","5,674","7,168","5,047","3,735","2,392","1,959","1,723","995","954","766","1,408","1,378"
2020,"Kebun Baru SMC",22623,13309,NA,7842,1472,"Ang Mo Kio","48,180","2,765","6,680","5,404","5,256","5,002","4,473","3,126","2,597","2,283","1,944","1,998","1,306","2,767","2,579"
2020,"MacPherson SMC",28513,19009,NA,7489,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Marymount SMC",23431,12173,NA,9943,1315,"Bishan","28,932","1,720","5,119","4,377","3,708","3,252","2,830","1,693","1,069","1,093","794","689","610","892","1,087"
2020,"Mountbatten SMC",24246,16285,NA,5775,2186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Pioneer SMC",24653,14593,NA,8944,1116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Potong Pasir SMC",19731,11264,NA,7302,1165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Punggol West SMC",26587,15655,10017,NA,915,"Punggol","9,537","1,016","2,224","1,831","1,312","679","352","330","334","345","267","245","284","179","137"
2020,"Radin Mas SMC",24931,16864,NA,5922,2145,"Bukit Merah","103,575","4,201","9,591","10,507","11,793","10,837","10,218","8,262","6,569","5,588","4,137","3,611","3,106","5,569","9,584"
2020,"Yio Chu Kang SMC",25962,14775,NA,9519,1668,"Ang Mo Kio","48,180","2,765","6,680","5,404","5,256","5,002","4,473","3,126","2,597","2,283","1,944","1,998","1,306","2,767","2,579"
2020,"Yuhua SMC",21351,14131,NA,5901,1319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Bishan-Toa Payoh GRC",101220,62983,NA,30696,7541,"Too Gerrymandered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Chua Chu Kang GRC",106632,59554,NA,42012,5066,"Choa Chu Kang","13,144","2,048","2,531","2,088","1,544","1,156","716","451","483","413","353","321","461","442","136"
2020,"Holland-Bukit Timah GRC",114973,71218,NA,36100,7655,"Too Gerrymandered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Jalan Besar GRC",107720,64631,NA,34261,8828,"Too Gerrymandered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Marsiling-Yew Tee GRC",117077,69813,NA,40690,6574,"Woodlands","43,797","2,549","7,389","6,392","5,738","4,176","3,889","2,764","2,632","1,776","1,151","1,390","996","1,587","1,368"
2020,"Sengkang GRC",120100,55319,60217,NA,4564,"Sengkang","17,566","1,290","3,068","2,664","2,339","1,641","1,638","1,143","789","627","510","564","387","462","444"
2020,"Aljunied GRC",150821,57330,85815,NA,7676,"Too Gerrymandered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Ang Mo Kio GRC",185261,124597,NA,48677,11987,"Too Gerrymandered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"East Coast GRC",121644,61144,53375,NA,7125,"Too Gerrymandered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Jurong GRC",131058,91846,NA,31260,7952,"Too Gerrymandered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Marine Parade GRC",139622,75203,55047,NA,9372,"Too Gerrymandered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Nee Soon GRC",146902,86308,NA,53131,7463,"Yishun","41,952","4,609","7,276","5,549","5,057","3,777","3,344","2,388","1,943","1,785","1,246","1,037","632","1,445","1,865"
2020,"Pasir Ris-Punggol GRC",166556,100932,NA,56384,9240,"Pasir Ris and Punggol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Sembawang GRC",147786,94176,NA,45778,7832,"Sembawang","40,152","2,573","6,917","6,282","6,290","4,363","3,820","2,495","1,636","1,398","942","806","478","976","1,176"
2020,"Tampines GRC",151589,94668,NA,47875,9046,"Tampines","84,200","4,214","9,870","10,109","9,241","7,944","7,141","5,364","4,183","3,729","3,691","3,187","2,389","4,929","8,212"
2020,"Tanjong Pagar GRC",134494,78330,NA,45807,10357,"Too Gerrymandered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"West Coast GRC",146089,71658,NA,66996,7435,"Too Gerrymandered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
