Data Series,GDP In Chained (2015) Dollars (Million Dollars),GDP In Chained (2015) Dollars -> Goods Producing Industries (Million Dollars),GDP In Chained (2015) Dollars -> Goods Producing Industries -> Manufacturing (Million Dollars),GDP In Chained (2015) Dollars -> Goods Producing Industries -> Construction (Million Dollars),GDP In Chained (2015) Dollars -> Goods Producing Industries -> Utilities (Million Dollars),GDP In Chained (2015) Dollars -> Goods Producing Industries -> Other Goods Industries (Million Dollars),GDP In Chained (2015) Dollars -> Services Producing Industries (Million Dollars),GDP In Chained (2015) Dollars -> Services Producing Industries -> Wholesale & Retail Trade (Million Dollars),GDP In Chained (2015) Dollars -> Services Producing Industries -> Wholesale & Retail Trade -> Wholesale Trade (Million Dollars),GDP In Chained (2015) Dollars -> Services Producing Industries -> Wholesale & Retail Trade -> Retail Trade (Million Dollars),GDP In Chained (2015) Dollars -> Services Producing Industries -> Transportation & Storage (Million Dollars),GDP In Chained (2015) Dollars -> Services Producing Industries -> Accommodation & Food Services (Million Dollars),GDP In Chained (2015) Dollars -> Services Producing Industries -> Accommodation & Food Services -> Accommodation (Million Dollars),GDP In Chained (2015) Dollars -> Services Producing Industries -> Accommodation & Food Services -> Food & Beverage Services (Million Dollars),GDP In Chained (2015) Dollars -> Services Producing Industries -> Information & Communications (Million Dollars),GDP In Chained (2015) Dollars -> Services Producing Industries -> Finance & Insurance (Million Dollars),"GDP In Chained (2015) Dollars -> Services Producing Industries -> Real Estate, Professional Services And Administrative & Support Services (Million Dollars)","GDP In Chained (2015) Dollars -> Services Producing Industries -> Real Estate, Professional Services And Administrative & Support Services -> Real Estate (Million Dollars)","GDP In Chained (2015) Dollars -> Services Producing Industries -> Real Estate, Professional Services And Administrative & Support Services -> Professional Services (Million Dollars)","GDP In Chained (2015) Dollars -> Services Producing Industries -> Real Estate, Professional Services And Administrative & Support Services -> Administrative & Support Services (Million Dollars)",GDP In Chained (2015) Dollars -> Services Producing Industries -> Other Services Industries (Million Dollars),GDP In Chained (2015) Dollars -> Services Producing Industries -> Other Services Industries -> Public Administration & Defence (Million Dollars),GDP In Chained (2015) Dollars -> Services Producing Industries -> Other Services Industries -> Education (Million Dollars),GDP In Chained (2015) Dollars -> Services Producing Industries -> Other Services Industries -> Health & Social Services (Million Dollars),"GDP In Chained (2015) Dollars -> Services Producing Industries -> Other Services Industries -> Arts, Entertainment & Recreation (Million Dollars)",GDP In Chained (2015) Dollars -> Services Producing Industries -> Other Services Industries -> Other Services - Others (Million Dollars),GDP In Chained (2015) Dollars -> Ownership Of Dwellings (Million Dollars),GDP In Chained (2015) Dollars -> Gross Value Added At Basic Prices (Million Dollars),GDP In Chained (2015) Dollars -> Add: Taxes On Products (Million Dollars)
2023,532259.5,135907.8,110737,17519.5,6182.1,157.6,346297.3,79714.5,72071.5,7323.2,33109.7,8200.2,3353.7,4660,32309.9,71275,68719.7,21939.6,30767.3,16712,52279.9,12621.6,14137.5,14039.1,5318.4,6057.3,22454.9,504513,26929.1
2022,526598.4,139941.3,115734.2,16646.7,6101.8,153.6,338544.5,79044.5,71485.5,7228.4,32363.7,7632.9,2992.3,4477.1,30565.3,70365,67155.5,20910.2,30427.5,16387.1,50068.8,12512.7,13912.3,13483.2,4282.1,5737.9,22002,499549.8,26207.2
2021,507134.2,136017.6,112691.5,15909.2,5986.8,166.3,322158,75813.7,68751.1,6660.1,30855.7,6880.9,2927.3,3880.4,28263,70235.7,60414.8,18860.1,26882.9,15198.3,48004.1,12371,13812.5,12935.3,3327.7,5355.9,21906.7,478667.2,27790.3
2020,462330.8,117724.8,99463,11246.6,5762.7,149.4,297998.2,69000.4,62664.8,5942.3,27670.1,6866.7,3173.4,3700.4,24661.5,65361.1,57558.4,14967.8,25807.9,16856.7,45715,11991,13302.9,11812.9,3125.9,5276.1,21877.8,436770.6,24874.3
2019,480942.3,117957,92497.3,19385.8,5923.4,156,312053.7,70426.8,62959.2,7360.6,32911.6,9413.3,4085.9,5331.1,21893.3,61547.3,65808.2,17041.7,28619.8,20211,49993.6,11516.5,13792.7,12201.5,6109.6,6404.8,21625.7,451200.8,29756
2018,474559.2,119191.7,93863.1,19258.5,5857.4,145.9,305972.5,69739.2,62079.5,7621.6,32887.7,9475.6,4144.9,5335.3,19298.2,57495.4,68452.4,16969.3,26528.5,24809.6,48712.6,11206.9,13813.9,11808,5852.5,6044.1,20737.3,445582,28926.7
2017,458435.5,112853.3,87699,19135.8,5894.1,141.5,296621.2,67788.2,60217.1,7559.4,32577.1,9160.2,3862.3,5298.9,18254,54287.2,66868.8,16902.4,25779.6,24075.8,47811.5,11051.7,13578.4,11516.3,5791.7,5881.6,19789.4,429126,29331.6
2016,438640,105684.9,79433.1,20203.5,5910.8,137.5,286430.5,66311.4,58807.6,7503.6,30966.4,9073.6,3754,5319.4,17540.6,50514.3,65566.4,18242.4,24619.6,22704.4,46458.2,11008.6,13625.8,11000.1,5102.1,5721.6,18944.7,411060.1,27579.9
2015,423444.1,102984.3,76598.2,20430.8,5817.2,138.1,278103,65584.5,58306.1,7278.4,30015,8763.1,3604.7,5158.4,16227.4,49872.2,62666.4,18781.5,24218.6,19666.3,44974.4,10622,13512,9998.8,5325.5,5516.1,18100.1,399187.4,24256.7
2014,411203.4,105635.9,80738.3,19274.8,5702.9,138.6,266871.2,63214.9,56302.3,6909.5,29224.7,8777.5,3631.1,5145.7,16232.1,47665.8,57891.1,18461.7,22562.5,16812.7,43895.2,10210.8,12976.3,9460,5985.6,5268.5,17304.6,389424,21828.8
