Year,GDP.Cap,GDP.1yr.Cap,GDP.lag.Cap
2023,65422.46032,-3.71813639,0.458682805
2022,67948.89283,0.458682805,14.36196612
2021,67638.64599,14.36196612,-3.569495981
2020,59144.35392,-3.569495981,0.191993897
2019,61333.65632,0.191993897,3.032029972
2018,61216.12509,3.032029972,4.420373604
2017,59414.65495,4.420373604,2.253328401
2016,56899.48512,2.253328401,1.762324686
2015,55645.60686,1.762324686,2.594723155
2014,54681.93365,2.594723155,3.133979149
2013,53298.97286,3.133979149,1.904462237
2012,51679.35272,1.904462237,4.023381649
2011,50713.53264,4.023381649,12.50852155
2010,48752.05154,12.50852155,-2.846771949
2009,43331.87466,-2.846771949,-3.415492694
2008,44601.57993,-3.415492694,4.572986271
2007,46178.81395,4.572986271,5.648343294
2006,44159.41018,5.648343294,4.872093269
2005,41798.48808,4.872093269,8.572205292
2004,39856.63562,8.572205292,6.101275546
2003,36709.7965,6.101275546,2.979229621
2002,34598.82675,2.979229621,-3.703665952
2001,33597.86908,-3.703665952,7.165988202
2000,34890.08114,7.165988202,4.876891842
1999,32557.04699,4.876891842,-5.457986674
1998,31043.10818,-5.457986674,4.739926747
1997,32835.25185,4.739926747,3.190985139
1996,31349.31718,3.190985139,3.968567752
1995,30379.89911,3.968567752,7.665158475
1994,29220.27279,7.665158475,8.675304888
1993,27139.95243,8.675304888,3.483718244
1992,24973.43114,3.483718244,3.695382282
1991,24132.71533,3.695382282,5.631848024
1990,23272.70009,5.631848024,6.971857275
1989,22031.89713,6.971857275,8.475501124
1988,20595.97514,8.475501124,9.14418252
1987,18986.7527,9.14418252,1.438615057
1986,17396.02814,1.438615057,-0.758403193
1985,17149.3155,-0.758403193,6.755184056
1984,17280.37038,6.755184056,7.153752205
1983,16186.91451,7.153752205,2.503512627
1982,15106.25077,2.503512627,5.614279638
1981,14737.30059,5.614279638,8.724607403
1980,13953.89017,8.724607403,8.180134489
1979,12834.16009,8.180134489,6.481254758
1978,11863.69397,6.481254758,5.38197486
1977,11141.5798,5.38197486,5.998924538
1976,10572.5669,5.998924538,2.481255806
1975,9974.220918,2.481255806,4.366072197
1974,9732.727063,4.366072197,8.555359642
1973,9325.566113,8.555359642,11.23603988
1972,8590.608648,11.23603988,10.37079951
1971,7722.864512,10.37079951,12.18402306
1970,6997.199029,12.18402306,12.13398097
1969,6237.250937,12.13398097,11.58597603
1968,5562.320077,11.58597603,10.05090033
1967,4984.784177,10.05090033,7.474577044
1966,4529.52603,7.474577044,5.245415269
1965,4214.509287,5.245415269,-5.555053671
1964,4004.458794,-5.555053671,7.293766759
1963,4239.992662,7.293766759,4.616034381
1962,3951.76047,4.616034381,4.580373932
1961,3777.394635,4.580373932,NA
1960,3611.953651,NA,NA
