,,,,,,
Theme: Population,,,,,,
Subject: Geographic Distribution,,,,,,
Topic: Annual Indicators on Geographic Distribution,,,,,,
"Table Title: Singapore Residents By Planning Region, Age Group And Sex, End June, Annual",,,,,,
,,,,,,
Data last updated: 14/01/2025,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,
,,,,,,
,,,,,,Number
Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 
West Region (Male),461990,460010,454730,449240,456200,455600
West Region (Female),477120,473780,465700,457360,466340,465740
West Region,939110,933790,920440,906600,922540,921340
North-East Region (Male),470890,466780,460260,451120,454000,450010
North-East Region (Female),499010,493790,484510,473090,476890,471960
North-East Region,969900,960570,944780,924220,930890,921980
North Region (Male),295850,295480,291240,287220,289580,285330
North Region (Female),301840,300830,294660,288520,292740,288610
North Region,597680,596300,585900,575730,582330,573940
East Region (Male),344660,342210,337420,330750,334720,334850
East Region (Female),363870,360560,354010,345660,351170,351140
East Region,708530,702770,691430,676410,685890,685990
Central Region (Male),461570,457430,446550,434790,443050,443590
Central Region (Female),504060,498400,484150,469100,479520,479370
Central Region,965640,955830,930700,903890,922570,922960
  West Region (Male) -> 90 Years & Over,1210,1130,1090,1010,970,890
  West Region (Female) -> 90 Years & Over,2910,2730,2640,2520,2340,2190
  West Region -> 90 Years & Over,4120,3860,3730,3540,3310,3080
  North-East Region (Male) -> 90 Years & Over,1440,1310,1230,1140,1060,970
  North-East Region (Female) -> 90 Years & Over,3470,3320,3310,3160,2940,2750
  North-East Region -> 90 Years & Over,4910,4630,4540,4310,4000,3720
  North Region (Male) -> 90 Years & Over,620,520,520,490,470,430
  North Region (Female) -> 90 Years & Over,1380,1300,1220,1170,1120,1080
  North Region -> 90 Years & Over,2000,1820,1740,1670,1590,1500
  East Region (Male) -> 90 Years & Over,1220,1150,1100,1110,1030,930
  East Region (Female) -> 90 Years & Over,2970,2830,2740,2720,2580,2410
  East Region -> 90 Years & Over,4190,3980,3840,3840,3610,3340
  Central Region (Male) -> 90 Years & Over,3280,3150,3040,2950,2790,2600
  Central Region (Female) -> 90 Years & Over,6650,6290,6060,5800,5580,5190
  Central Region -> 90 Years & Over,9930,9440,9100,8750,8370,7790
  West Region (Male) -> 85 - 89 Years,3080,2690,2500,2450,2320,2090
  West Region (Female) -> 85 - 89 Years,4580,4220,4070,4030,3950,3680
  West Region -> 85 - 89 Years,7660,6920,6560,6480,6270,5770
  North-East Region (Male) -> 85 - 89 Years,3450,3130,2890,2860,2740,2490
  North-East Region (Female) -> 85 - 89 Years,5650,5170,4860,4840,4750,4360
  North-East Region -> 85 - 89 Years,9100,8290,7750,7700,7480,6840
  North Region (Male) -> 85 - 89 Years,1460,1340,1270,1240,1220,1070
  North Region (Female) -> 85 - 89 Years,2400,2140,2010,2070,2020,1810
  North Region -> 85 - 89 Years,3860,3480,3290,3320,3240,2880
  East Region (Male) -> 85 - 89 Years,2720,2510,2390,2340,2210,2050
  East Region (Female) -> 85 - 89 Years,4590,4190,4070,4080,3980,3790
  East Region -> 85 - 89 Years,7310,6700,6460,6430,6180,5840
  Central Region (Male) -> 85 - 89 Years,6080,5510,5190,5110,5040,4780
  Central Region (Female) -> 85 - 89 Years,9900,9120,8700,8650,8380,7820
  Central Region -> 85 - 89 Years,15980,14630,13890,13750,13420,12600
  West Region (Male) -> 80 - 84 Years,6300,6130,5850,5600,5150,4780
  West Region (Female) -> 80 - 84 Years,8260,8000,7790,7320,6670,6170
  West Region -> 80 - 84 Years,14560,14130,13640,12920,11820,10940
  North-East Region (Male) -> 80 - 84 Years,7080,6770,6640,6290,5820,5340
  North-East Region (Female) -> 80 - 84 Years,9670,9430,9230,8670,7960,7440
  North-East Region -> 80 - 84 Years,16750,16200,15880,14960,13780,12780
  North Region (Male) -> 80 - 84 Years,3020,2930,2830,2770,2540,2360
  North Region (Female) -> 80 - 84 Years,4210,4230,4130,3840,3510,3270
  North Region -> 80 - 84 Years,7220,7150,6960,6600,6040,5630
  East Region (Male) -> 80 - 84 Years,5430,5110,4980,4740,4460,4220
  East Region (Female) -> 80 - 84 Years,7470,7430,7290,6890,6480,6150
  East Region -> 80 - 84 Years,12900,12550,12260,11630,10930,10370
  Central Region (Male) -> 80 - 84 Years,10760,10710,10720,10490,9920,9390
  Central Region (Female) -> 80 - 84 Years,15340,15430,15480,14960,14020,13190
  Central Region -> 80 - 84 Years,26100,26140,26200,25450,23940,22580
  West Region (Male) -> 75 - 79 Years,13220,11570,10040,8270,8100,8210
  West Region (Female) -> 75 - 79 Years,14440,12890,11130,9600,9440,9700
  West Region -> 75 - 79 Years,27660,24460,21170,17870,17540,17920
  North-East Region (Male) -> 75 - 79 Years,13560,12040,10550,8960,8770,9050
  North-East Region (Female) -> 75 - 79 Years,16060,14570,12680,10960,10810,11230
  North-East Region -> 75 - 79 Years,29620,26610,23230,19930,19580,20280
  North Region (Male) -> 75 - 79 Years,6130,5470,4710,3970,3980,4050
  North Region (Female) -> 75 - 79 Years,7250,6470,5670,4890,4900,4990
  North Region -> 75 - 79 Years,13380,11940,10380,8860,8880,9050
  East Region (Male) -> 75 - 79 Years,11030,9770,8340,7000,6790,6920
  East Region (Female) -> 75 - 79 Years,12690,11320,9740,8370,8300,8650
  East Region -> 75 - 79 Years,23720,21090,18080,15370,15090,15570
  Central Region (Male) -> 75 - 79 Years,17780,16320,14570,12790,13130,13970
  Central Region (Female) -> 75 - 79 Years,22460,20600,18370,16170,16770,17820
  Central Region -> 75 - 79 Years,40230,36920,32940,28950,29900,31790
  West Region (Male) -> 70 - 74 Years,22470,21370,20170,19170,17590,15320
  West Region (Female) -> 70 - 74 Years,23470,22140,20790,19650,18110,15760
  West Region -> 70 - 74 Years,45930,43510,40960,38820,35700,31070
  North-East Region (Male) -> 70 - 74 Years,21690,20810,19520,18760,17560,15430
  North-East Region (Female) -> 70 - 74 Years,24100,22910,21860,20960,19540,17150
  North-East Region -> 70 - 74 Years,45790,43720,41380,39720,37090,32580
  North Region (Male) -> 70 - 74 Years,11590,10680,9860,9160,8390,7180
  North Region (Female) -> 70 - 74 Years,11770,11070,10310,9780,9070,7960
  North Region -> 70 - 74 Years,23360,21750,20170,18940,17460,15130
  East Region (Male) -> 70 - 74 Years,18510,17470,16570,15810,14590,12710
  East Region (Female) -> 70 - 74 Years,19100,18260,17420,16640,15560,13720
  East Region -> 70 - 74 Years,37610,35730,33990,32450,30150,26430
  Central Region (Male) -> 70 - 74 Years,25000,24520,23930,23440,22690,20610
  Central Region (Female) -> 70 - 74 Years,28830,28670,28170,27960,26920,24310
  Central Region -> 70 - 74 Years,53830,53180,52100,51400,49610,44920
  West Region (Male) -> 65 - 69 Years,30160,29260,28150,26860,25830,24750
  West Region (Female) -> 65 - 69 Years,30560,29650,28510,27130,26220,24880
  West Region -> 65 - 69 Years,60730,58910,56660,53980,52050,49630
  North-East Region (Male) -> 65 - 69 Years,28140,27420,26450,25120,24410,23380
  North-East Region (Female) -> 65 - 69 Years,30590,29700,28360,26820,25950,24990
  North-East Region -> 65 - 69 Years,58730,57120,54810,51940,50350,48370
