Qtr,CPI,Inflation.Qtr,Inflation.Qtr.Lag
2024.3,116.7,0.430292599,0.78057242
2024.2,116.2,0.78057242,0.173761946
2024.1,115.3,0.173761946,0.788091068
2023.4,115.1,0.788091068,0.972590628
2023.3,114.2,0.972590628,0.982142857
2023.2,113.1,0.982142857,1.174345077
2023.1,112,1.174345077,0.911577028
2022.4,110.7,0.911577028,1.951672862
2022.3,109.7,1.951672862,1.990521327
2022.2,107.6,1.990521327,1.637764933
2022.1,105.5,1.637764933,1.56555773
2021.4,103.8,1.56555773,0.590551181
2021.3,102.2,0.590551181,0.693756194
2021.2,101.6,0.693756194,0.799200799
2021.1,100.9,0.799200799,0.401203611
2020.4,100.1,0.401203611,0.402819738
2020.3,99.7,0.402819738,-0.799200799
2020.2,99.3,-0.799200799,-0.099800399
2020.1,100.1,-0.099800399,0.2
2019.4,100.2,0.2,0
2019.3,100,0,0.200400802
2019.2,100,0.200400802,0.200803213
2019.1,99.8,0.200803213,0
2018.4,99.6,0,0.302114804
2018.3,99.6,0.302114804,0
2018.2,99.3,0,0.201816347
2018.1,99.3,0.201816347,0.202224469
2017.4,99.1,0.202224469,0
2017.3,98.9,0,-0.101010101
2017.2,98.9,-0.101010101,0.405679513
2017.1,99,0.405679513,0.101522843
2016.4,98.6,0.101522843,0.305498982
2016.3,98.5,0.305498982,-0.203252033
2016.2,98.2,-0.203252033,-0.202839757
2016.1,98.4,-0.202839757,-0.303336704
2015.4,98.6,-0.303336704,-0.201816347
2015.3,98.9,-0.201816347,-0.201409869
2015.2,99.1,-0.201409869,0
2015.1,99.3,0,-0.201005025
2014.4,99.3,-0.201005025,0
2014.3,99.5,0,-0.100401606
2014.2,99.5,-0.100401606,0.201207243
2014.1,99.6,0.201207243,0.913705584
2013.4,99.4,0.913705584,1.12936345
2013.3,98.5,1.12936345,-1.21703854
2013.2,97.4,-1.21703854,1.232032854
2013.1,98.6,1.232032854,0.723888314
2012.4,97.4,0.723888314,0.834202294
2012.3,96.7,0.834202294,1.160337553
2012.2,95.9,1.160337553,1.173959445
2012.1,94.8,1.173959445,0.969827586
2011.4,93.7,0.969827586,1.866081229
2011.3,92.8,1.866081229,0.774336283
2011.2,91.1,0.774336283,1.801801802
