"Year","Constituency","Electorate","PAP","WP","Others","No.Vote"
1972,"Alexandra ",24499,17965,3782,1427,1325
1972,"Aljunied ",19278,12861,4360,762,1295
1972,"Anson ",8171,5027,1291,444,1409
1972,"Boon Teck ",15958,9947,NA,4954,1057
1972,"Bras Basah ",8323,NA,NA,NA,NA
1972,"Bukit Batok ",14563,9765,NA,3471,1327
1972,"Bukit Ho Swee ",12212,7862,1361,2209,780
1972,"Bukit Merah ",13960,9044,2042,1958,916
1972,"Bukit Panjang ",15461,9527,3496,1060,1378
1972,"Bukit Timah ",15476,9475,NA,4714,1287
1972,"Cairnhill ",11952,8458,NA,1994,1500
1972,"Changi ",18297,10512,4917,1412,1456
1972,"Chua Chu Kang ",15669,9002,NA,5434,1233
1972,"Crawford ",9285,6040,1565,714,966
1972,"Delta ",13781,9149,2186,1602,844
1972,"Farrer Park ",12707,8521,2668,354,1164
1972,"Geylang East ",16580,9692,4951,445,1492
1972,"Geylang Serai ",13837,6711,NA,5811,1315
1972,"Geylang West ",11653,7320,3246,NA,1087
1972,"Havelock ",10849,7151,NA,2692,1006
1972,"Henderson ",9431,6577,NA,2260,594
1972,"Hong Lim ",7486,4835,NA,1717,934
1972,"Jalan Besar ",10310,7794,NA,1500,1016
1972,"Jalan Kayu ",14982,8283,5137,518,1044
1972,"Joo Chiat ",15684,11669,NA,2307,1708
1972,"Jurong ",15348,10741,NA,3312,1295
1972,"Kallang ",17232,12626,NA,3205,1401
1972,"Kampong Chai Chee ",15564,7458,2590,4188,1328
1972,"Kampong Glam ",7542,NA,NA,NA,NA
1972,"Kampong Kapor ",9361,6132,NA,2251,978
1972,"Kampong Kembangan ",18480,9671,5451,1687,1671
1972,"Kampong Ubi ",15431,8030,NA,6093,1308
1972,"Katong ",16766,NA,NA,NA,NA
1972,"Kim Keat ",14640,10262,3022,583,773
1972,"Kim Seng ",12893,8178,3895,NA,820
1972,"Kreta Ayer ",9627,NA,NA,NA,NA
1972,"Kuo Chuan ",15142,10523,NA,3757,862
1972,"Leng Kee ",17158,10929,4036,1042,1151
1972,"MacPherson ",15637,10117,4597,NA,923
1972,"Moulmein ",11144,7412,2822,NA,910
1972,"Mountbatten ",14396,NA,NA,NA,NA
1972,"Nee Soon ",17061,11636,NA,4240,1185
1972,"Pasir Panjang ",13964,9209,NA,3623,1132
1972,"Paya Lebar ",19102,11073,5361,1545,1123
1972,"Potong Pasir ",13103,7772,3391,573,1367
1972,"Punggol ",15303,8215,NA,5917,1171
1972,"Queenstown ",18458,14200,2504,775,979
1972,"River Valley ",12189,NA,NA,NA,NA
1972,"Rochore ",11589,6218,NA,4076,1295
1972,"Sembawang ",12217,8466,NA,2478,1273
1972,"Sepoy Lines ",12308,9160,NA,2107,1041
1972,"Serangoon Gardens ",13836,NA,NA,NA,NA
1972,"Siglap ",16091,11456,2529,584,1522
1972,"Stamford ",8212,5083,1999,NA,1130
1972,"Tampines ",15302,9049,NA,5025,1228
1972,"Tanglin ",12777,NA,NA,NA,NA
1972,"Tanjong Pagar ",9946,7542,NA,1428,976
1972,"Telok Ayer ",10547,7612,NA,1452,1483
1972,"Telok Blangah ",14624,7669,4714,858,1383
1972,"Thomson ",18702,12378,NA,4683,1641
1972,"Tiong Bahru ",17394,11991,2972,894,1537
1972,"Toa Payoh ",15742,10884,NA,3853,1005
1972,"Ulu Pandan ",14485,9378,NA,3678,1429
1972,"Upper Serangoon ",16621,11862,NA,3401,1358
1972,"Whampoa ",12044,8773,NA,2395,876
1976,"Alexandra",17367,12413,3941,NA,1013
1976,"Aljunied",17461,12230,4103,NA,1128
1976,"Ang Mo Kio",14264,NA,NA,NA,NA
1976,"Anson",12755,NA,NA,NA,NA
1976,"Bedok",11310,7928,NA,2818,564
1976,"Boon Lay",15496,11749,NA,2970,777
1976,"Boon Teck",18872,12698,NA,4958,1216
1976,"Braddell Heights",14031,NA,NA,NA,NA
1976,"Brickworks",14062,9871,NA,3470,721
1976,"Bukit Batok",15650,12216,NA,2229,1205
1976,"Bukit Ho Swee",13686,9451,NA,3407,828
1976,"Bukit Merah",17538,12775,NA,3952,811
1976,"Bukit Panjang",18906,11867,5731,NA,1308
1976,"Bukit Timah",13132,NA,NA,NA,NA
1976,"Buona Vista",16267,12704,NA,2649,914
1976,"Cairnhill",13419,7979,NA,3726,1714
1976,"Changi",17827,12038,4537,NA,1252
1976,"Chua Chu Kang",18136,11740,5336,NA,1060
1976,"Delta",14821,10636,NA,3286,899
1976,"Farrer Park",11949,NA,NA,NA,NA
1976,"Geylang East",14738,9405,4326,NA,1007
1976,"Geylang Serai",14178,8780,NA,4455,943
1976,"Geylang West",18101,11912,NA,4822,1367
1976,"Havelock",12492,9250,2416,NA,826
1976,"Henderson",18182,12857,4338,NA,987
1976,"Jalan Besar",14933,NA,NA,NA,NA
1976,"Jalan Kayu",15447,8883,5544,NA,1020
1976,"Joo Chiat",14241,9601,3247,NA,1393
1976,"Jurong",18310,NA,NA,NA,NA
1976,"Kallang",17282,11823,NA,4175,1284
1976,"Kampong Chai Chee",19126,10729,7177,NA,1220
1976,"Kampong Glam",18439,13114,NA,3241,2084
1976,"Kampong Kembangan",13720,8028,4511,NA,1181
1976,"Kampong Ubi",20811,13241,NA,6101,1469
1976,"Katong",15861,10721,NA,3353,1787
1976,"Khe Bong",15677,10950,NA,3782,945
1976,"Kim Keat",19700,14262,NA,4353,1085
1976,"Kim Seng",14860,10975,3159,NA,726
1976,"Kolam Ayer",19371,13175,NA,5007,1189
1976,"Kreta Ayer",12199,NA,NA,NA,NA
1976,"Kuo Chuan",16990,11931,NA,4100,959
1976,"Leng Kee",18475,13356,NA,4043,1076
1976,"MacPherson",18716,NA,NA,NA,NA
1976,"Marine Parade",19528,14418,NA,3922,1188
1976,"Moulmein",12654,8571,2766,447,870
1976,"Mountbatten",15440,9412,NA,4878,1150
1976,"Nee Soon",16143,NA,NA,NA,NA
1976,"Pasir Panjang",12142,8138,3176,NA,828
1976,"Paya Lebar",15648,9764,4697,NA,1187
1976,"Potong Pasir",14167,9667,3252,NA,1248
1976,"Punggol",20444,13360,5887,NA,1197
1976,"Queenstown",16926,NA,NA,NA,NA
1976,"Radin Mas",18418,13246,4263,NA,909
1976,"River Valley",17022,12256,2724,NA,2042
1976,"Rochore",15424,9053,NA,4768,1603
1976,"Sembawang",17695,13661,NA,2685,1349
1976,"Serangoon Gardens",12115,7471,3397,NA,1247
1976,"Siglap",13849,9733,NA,2714,1402
1976,"Tampines",15559,NA,NA,NA,NA
1976,"Tanglin",13332,NA,NA,NA,NA
1976,"Tanjong Pagar",12147,9996,NA,1232,919
1976,"Telok Ayer",15515,NA,NA,NA,NA
1976,"Telok Blangah",14225,NA,NA,NA,NA
1976,"Thomson",15609,10636,NA,3714,1259
1976,"Tiong Bahru",19589,15248,NA,3100,1241
1976,"Toa Payoh",13933,9633,NA,3450,850
1976,"Ulu Pandan",16343,NA,NA,NA,NA
1976,"Upper Serangoon",13705,9982,NA,2630,1093
1976,"Whampoa",19259,14636,3438,NA,1185
1980,"Alexandra",18163,NA,NA,NA,NA
1980,"Aljunied",17017,13313,NA,2425,1279
1980,"Ang Mo Kio",22542,17436,NA,3830,1276
1980,"Anson",15077,11564,NA,2187,1326
1980,"Ayer Rajah",15787,12400,NA,2470,917
1980,"Bedok",20852,14691,NA,4889,1272
1980,"Boon Lay",21317,15005,NA,5220,1092
1980,"Boon Teck",18705,11917,NA,5571,1217
1980,"Braddell Heights",14519,NA,NA,NA,NA
1980,"Brickworks",13054,NA,NA,NA,NA
1980,"Bukit Batok",18275,NA,NA,NA,NA
1980,"Bukit Ho Swee",12435,NA,NA,NA,NA
1980,"Bukit Merah",19046,NA,NA,NA,NA
1980,"Bukit Panjang",23305,18510,NA,2759,2036
1980,"Bukit Timah",15334,NA,NA,NA,NA
1980,"Buona Vista",17287,NA,NA,NA,NA
1980,"Cairnhill",18133,11444,NA,4498,2191
1980,"Changi",25464,NA,NA,NA,NA
1980,"Cheng San",17044,12312,3911,NA,821
1980,"Chong Boon",13877,NA,NA,NA,NA
1980,"Chua Chu Kang",22363,NA,NA,NA,NA
1980,"Clementi",15129,12162,NA,2076,891
1980,"Delta",14830,NA,NA,NA,NA
1980,"Geylang Serai",19962,13195,NA,5134,1633
1980,"Geylang West",22298,17585,NA,2994,1719
1980,"Havelock",12524,NA,NA,NA,NA
1980,"Henderson",18353,13363,3897,NA,1093
1980,"Jalan Besar",15058,NA,NA,NA,NA
1980,"Jalan Kayu",23766,15275,6855,NA,1636
1980,"Joo Chiat",12805,8542,NA,2973,1290
1980,"Jurong",18658,NA,NA,NA,NA
