Year,GDP,GDP.1yr,Recession,GDP.4yr,GDP.Lag,GDP.Cap,GDP.1yr.Cap,GDP.Cap.Lag
2023,532259.5,1.075031751,FALSE,2.683519118,3.838076785,65422.46032,-3.71813639,0.458682805
2022,526598.4,3.838076785,FALSE,2.751025866,9.690766871,67948.89283,0.458682805,14.36196612
2021,507134.2,9.690766871,FALSE,2.670785216,-3.869798934,67638.64599,14.36196612,-3.569495981
2020,462330.8,-3.869798934,TRUE,1.376325077,1.345058741,59144.35392,-3.569495981,0.191993897
2019,480942.3,1.345058741,FALSE,3.240935735,3.517114185,61333.65632,0.191993897,3.032029972
2018,474559.2,3.517114185,FALSE,3.648870879,4.512926318,61216.12509,3.032029972,4.420373604
2017,458435.5,4.512926318,FALSE,3.753477402,3.588643696,59414.65495,4.420373604,2.253328401
2016,438640,3.588643696,FALSE,3.82965357,2.976799316,56899.48512,2.253328401,1.762324686
2015,423444.1,2.976799316,FALSE,4.041367045,3.935540277,55645.60686,1.762324686,2.594723155
2014,411203.4,3.935540277,FALSE,4.850900758,4.817630991,54681.93365,2.594723155,3.133979149
2013,395633.1,4.817630991,FALSE,7.496953116,4.435497594,53298.97286,3.133979149,1.904462237
2012,377449,4.435497594,FALSE,6.324533714,6.214934169,51679.35272,1.904462237,4.023381649
2011,361418.3,6.214934169,FALSE,5.681530179,14.51974971,50713.53264,4.023381649,12.50852155
2010,340270.7,14.51974971,FALSE,6.383176515,0.127953383,48752.05154,12.50852155,-2.846771949
2009,297128.4,0.127953383,FALSE,5.004930607,1.863483455,43331.87466,-2.846771949,-3.415492694
2008,296748.7,1.863483455,FALSE,6.81452286,9.021519513,44601.57993,-3.415492694,4.572986271
2007,291320,9.021519513,FALSE,8.833647667,9.006766079,46178.81395,4.572986271,5.648343294
2006,267213.3,9.006766079,FALSE,7.715331646,7.366322393,44159.41018,5.648343294,4.872093269
2005,245134.6,7.366322393,FALSE,6.444480318,9.939982684,41798.48808,4.872093269,8.572205292
2004,228316.1,9.939982684,FALSE,4.335184032,4.548255426,39856.63562,8.572205292,6.101275546
