"Year","PAP","WP","Others","No.Vote","Gen.Election","Turnout","PAP.WP","PAP.Win","GDP.1yr","Recession","GDP.4yr","GDP.Lag","GDP.1yr.Cap","GDP.Cap.Lag","Inflation.1yr","Inflation.4yr","Total.Unemp.1yr","Res.Unemp.1yr","Res.Unemp.4yr","High.Unemp","Date","GDP.Qtr","GDP.Qtr.Lag","GDP.4Qtr","Inflation.Qtr","Inflation.Qtr.Lag"
1972,70.4327068229118,12.1954165039672,17.371876673121,9.08258961219152,TRUE,91.6736578729183,68.6433813338787,1,13.31556261,FALSE,13.37620697,12.41343716,11.23603988,10.37079951,2.173913043,1.005074543,4.8,6.4397094084386,NA,TRUE,"1972-09-02",3.17450402754835,3.17450402754835,NA,1.805054152,-1.071428571
1976,74.0885946279809,11.5452212731555,14.3661840988636,7.62329080108264,TRUE,92.9166904818283,71.9568001262373,1,7.437166818,FALSE,7.036578208,3.988738626,5.998924538,2.481255806,-1.891252955,10.63434723,4.4,5.90306695773539,5.76890634505958,TRUE,"1976-12-23",1.047786684,1.953413927,3.997698814,0.485436893,-0.483091787
1977,71.3794766670686,15.1362594959605,13.4842638369709,4.95598697696853,FALSE,95.2780330882353,70.5927140681738,1,6.852442394,FALSE,6.098938052,7.437166818,5.38197486,5.998924538,3.13253012,6.54159324,3.9,5.23226389435637,5.60120557921483,TRUE,"1977-05-04",2.072896873,2.20331203,5.414952071,-0.472813239,2.173913043
1979,72.68878296617,10.9752932981876,16.3359237356424,9.36368975265983,FALSE,91.4380268498283,61.2218308160015,1,9.55444874,FALSE,7.905309976,7.777181954,8.180134489,6.481254758,4.035874439,2.37068977,3.3,4.42730021830154,5.09810328168056,TRUE,"1979-02-10",0.249294497,2.72371548,6.992113917,0,0.222222222
1980,77.659902082168,6.22042196426439,16.1196759535676,7.65006630507878,TRUE,92.8935795697528,70.7950043892327,1,10.11337211,FALSE,8.574361299,9.55444874,8.724607403,8.180134489,8.405172414,4.944796113,3.5,4.69562144365315,4.79624190316,TRUE,"1980-12-23",2.536238085,2.222610977,6.934739735,0.787401575,1.397205589
1981,47.0967264109021,51.9330469560065,0.970226633091394,7.48037327803288,FALSE,93.0402425578831,47.0967264109021,0,10.8159233,FALSE,9.565231525,10.11337211,5.614279638,8.724607403,8.151093439,6.199436942,2.9,3.89065776759832,4.46084037147049,FALSE,"1981-10-31",1.982063746,2.184916219,7.469787724,1.079136691,3.153988868
1984,65.4606292078288,12.2060363046246,22.3333344875466,9.02975677263499,TRUE,91.7180804214163,59.05048053774,0,8.792286239,FALSE,8.816209123,8.554482106,6.755184056,7.153752205,2.447552448,3.925708551,2.7,3.62233654224671,3.82357746126042,FALSE,"1984-12-22",0.356470272,1.183530795,2.751414834,-0.680272109,0.341296928
1988,63.1709542733913,16.7213310141646,20.1077147124442,7.47090175688208,TRUE,93.0484422901907,61.4239396659589,1,11.26359213,FALSE,5.695408342,10.79793247,8.475501124,9.14418252,1.54109589,0.302789527,3.3,4.42730021830154,6.2384684894249,TRUE,"1988-09-03",2.664526485,4.044131078,8.01830282,0.506756757,0.338983051
1991,60.9689489185975,14.2940638989704,24.7369871824321,8.18057916417819,TRUE,92.4380334923489,58.1576311666966,0,6.68839754,FALSE,9.482929467,9.820899557,3.695382282,5.631848024,3.50877193,2.676409408,1.7,2.28073041548867,2.98507363203664,FALSE,"1991-08-31",1.646061845,1.42040098,5.552695507,0.462962963,0.777604977
1992,72.9449095730417,0,27.0550904269583,10.2195870452582,FALSE,90.7279755629443,NA,NA,6.639805569,FALSE,8.326982826,6.68839754,3.483718244,3.695382282,2.311248074,2.868947454,2.4,2.8,2.57824857746126,FALSE,"1992-12-19",2.685727359,2.684785481,6.708991014,0.45045045,0.604229607
